Predict_linear_val,Predict_average1
7.28723478317261,7.352476113
7.43795251846313,7.499903965
7.5966534614563,7.575214847
3.81635427474976,3.947663441
7.5966534614563,7.570608186
6.81053590774536,7.008802501
4.09384107589722,3.806239175
9.48748779296875,9.43813727
9.48748779296875,9.424388255
8.82828330993652,8.83271695
8.82828330993652,8.820188755
3.55785512924194,3.756452179
10.8156852722168,11.03237669
10.0470581054688,10.219578145
9.48748779296875,9.409166995
10.0470581054688,10.21295621
6.3514666557312,6.245378741
5.16477537155151,5.328861886
4.3795952796936,4.372727853
6.2234263420105,6.211994628
7.77246141433716,7.684143781
3.55785512924194,3.747616407
10.8156852722168,11.02404694
7.01009893417358,7.026241171
7.77246141433716,7.682289752
7.5966534614563,7.609339853
10.6935234069824,10.622523635
5.39665937423706,5.303668167
8.86108207702637,8.726087255
10.6935234069824,10.61618303
7.05981779098511,7.232932371
2.93796348571777,2.729104783
4.3795952796936,4.393678363
6.2234263420105,6.217403281
7.05981779098511,7.212739995
10.0470581054688,10.20399507
8.18838691711426,8.33406316
10.0470581054688,10.18511452
5.75516843795776,5.71589683
4.50111246109009,4.390985442
8.18838691711426,8.331064385
3.55785512924194,3.760076829
4.85677003860474,4.745315198
10.0470581054688,10.1997302
8.82828330993652,8.93560784
3.03395509719849,2.849993258
5.46159315109253,5.41311859
5.46159315109253,5.407443809
5.51715230941772,5.521281441
7.32505464553833,7.393770619
7.11802625656128,7.040690542
6.28737306594849,6.263557167
3.55785512924194,3.743505014
6.81053590774536,7.026912468
8.78420066833496,8.745774585
7.73942613601685,7.625106208
8.86043357849121,9.07881082
10.0470581054688,10.21744567
6.00531911849976,6.08252279
9.33649444580078,9.371016535
6.00531911849976,6.072590964
7.43827104568481,7.3459711
8.44449424743652,8.49387178
4.09384107589722,3.84702531
2.83843946456909,2.924336252
10.0470581054688,10.221814535
8.09920501708984,8.18441042
7.99174451828003,8.073520798
3.55785512924194,3.74571149
3.55785512924194,3.755859706
8.09920501708984,8.193353495
5.97468709945679,5.871374639
10.2226715087891,9.99920142
5.97468709945679,5.841329189
10.2226715087891,10.09206876
